Category,e.open_xpd_uuid,label,Manufacturer,Plant,product,description,declared_unit,gwp.a1a2a3_mean,gwp.a1a2a3_unit,ap.a1a2a3_mean,ap.a1a2a3_unit,ep_marine.a1a2a3_mean,ep_marine.a1a2a3_unit,odp.a1a2a3_mean,odp.a1a2a3_unit,pocp.a1a2a3_mean,pocp.a1a2a3_unit,rgwp.method,source,geography,expiry
Steel >> Structural Steel >> Hollow Sections,ec3hx9a55y,"Tibnor AB, Hot finished structural hollow sections, Unspecified Tibnor AB Plant(s), 2025, ec3hx9a55y",Tibnor AB,Unspecified Tibnor AB Plant(s),Hot finished structural hollow sections,"The starting format for manufacture of steel hollow profiles is mostly a coil of hot-rolled strip. The strip is de-coiled and after surface preparation, it is cut to an appropriate width, formed by bending to a round, square or rectangular shape and then welded longitudinally. The shaping operation can be performed either cold or on strip which has been heated. The procedure is carried out in a continuous line, the final operation being cutting to length. Hot-formed profiles have lower internal stresses than cold-formed which means that there is less risk for shape changes if they are cut, machined or welded. The principal advantages of cold-formed profiles are better dimensional tolerances and surface finish. Hollow profiles, especially those with square or rectangular section, are used as a complement to beam profiles in building construction and civil engineering. Compared with H- and I-beam profiles and U-channels, the closed shape of hollow profiles means that, for a given cross-sectional area, they have much better resistance to twisting. The steel grades used for cold- and hot-formed hollow profiles are most often weldable, low-carbon constructional steels with an iron content of 98% or more. As with other steel products, hollow profiles used in building and civil engineering constructions can at the end of their useful life be recovered and recycled to 100%.",1 kg,2.6,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Sweden,2025
Steel >> Structural Steel >> Hollow Sections,ec3feadbt3,"Tibnor AB, Cold-formed Structural hollow sections, Unspecified Tibnor AB Plant(s), 2025, ec3feadbt3",Tibnor AB,Unspecified Tibnor AB Plant(s),Cold-formed Structural hollow sections,"The starting format for manufacture of steel hollow profiles is mostly a coil of hot-rolled strip. The strip is de-coiled and after surface preparation, it is cut to an appropriate width, formed by bending to a round, square or rectangular shape and then welded longitudinally. The shaping operation can be performed either cold or on strip which has been heated. The procedure is carried out in a continuous line, the final operation being cutting to length. Hot-formed profiles have lower internal stresses than cold-formed which means that there is less risk for shape changes if they are cut, machined or welded. The principal advantages of cold-formed profiles are better dimensional tolerances and surface finish. Hollow profiles, especially those with square or rectangular section, are used as a complement to beam profiles in building construction and civil engineering. Compared with H- and I-beam profiles and U-channels, the closed shape of hollow profiles means that, for a given cross-sectional area, they have much better resistance to twisting. The steel grades used for cold- and hot-formed hollow profiles are most often weldable, low-carbon constructional steels with an iron content of 98% or more. As with other steel products, hollow profiles used in building and civil engineering constructions can at the end of their useful life be recovered and recycled to 100%.",1 kg,2.58,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Sweden,2025
Steel >> Structural Steel >> Hollow Sections,ec3ebbc4nw,"Metacon, Cold formed welded structural hollow sections, Raw material supply from Luxembourg, 2025, ec3ebbc4nw",Metacon,Raw material supply from Luxembourg,Cold formed welded structural hollow sections,"Circular, square and rectangular sections used in building frame structures.",1 kg,2.78,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Norway,2025
Steel >> Structural Steel >> Hollow Sections,ec30enzzck,"Tenaris S.A., Offshore and Onshore Seamless Structural Solutions, Unspecified Plant, 2024, ec30enzzck",Tenaris S.A.,Unspecified Plant,Offshore and Onshore Seamless Structural Solutions,"Tubular structural hollow sections, in different steel grades and dimensions, for use in construction such as stadiums, bridges, airports and other industrial structures (hangars, commercial buildings, industrial units). Due to excellent mechanical characteristics, very good weldability and geometric tolerances, steel tube for engineering applications are ideal for those types of constructions where light weight, high load-bearing structures with a contained overall weight are required.Tenaris provides also a wide range of hot-rolled tubular products, in different steel grades, for use in structural offshore applications such as:jack up rigs (horizontal and diagonal bracing and span breakers for leg structures),jack up vessels (corner post tubes and diagonal bracing for heavy-lift offshore and maritime cranes, horizontal and diagonal bracing for leg structures),top side structuresThis EPD has been registered as an ECO Platform EPD with ECO EPD Reference number 00000230. The International EPD System is a founding member of the ECO Platform and its procedures has undergone a peer audit to be able to use this logotype. All EPDs of construction products from different programmes that carry the ECO logotype are listed here. This EPD has been registered under the scope of mutual recognition between Institut Bauen und Umwelt e.V. (IBU) and The International EPD® System. The EPD thus has the right to bear the logotype of both programmes, and is also published here: www.ibu-epd.com / https://epd-online.com.",1 kg,1.51,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Luxembourg,2024
Steel >> Structural Steel >> Hollow Sections,ec3un2brzm,"Tenaris S.A., Seamless Steel Structural Tube, Unspecified Plant, 2024, ec3un2brzm",Tenaris S.A.,Unspecified Plant,Seamless Steel Structural Tube,"Produced in a large range of dimensions and different steel grades. Use in construction with applications in civil structures including stadiums, bridges, airports, hangars, commercial buildings, etc. Its properties of compression, traction and buckling capacity, combined with the use of different materials, allow different shapes, colors, uses and sizes, ideal for design.",1 kg,0.63,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Luxembourg,2024
Steel >> Structural Steel >> Hollow Sections,ec32qmqtdf,"Tosçelik Profil ve Sac End. A.Ş, Bare Steel ERW Hollow Sections, Unspecified Tosçelik Profil ve Sac End. A.Ş Plant(s), 2026, ec32qmqtdf",Tosçelik Profil ve Sac End. A.Ş,Unspecified Tosçelik Profil ve Sac End. A.Ş Plant(s),Bare Steel ERW Hollow Sections,"Bare Steel Hollow Sections are manufactured longitudinally welded with source of high frequency (ERW) from the strips having steel grade at their manufacturing standards. Our standard productions are packaged square and rectangular shapes for hollow sections. According to customer demands, product packages may be packed with jute as well. Intended use of the product: It is used in sectors and applications which are construction purposes, automotive, construction, machine manufacturing, formwork, shelf systems, roof systems, furniture.",1 kg,0.7,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Turkey,2026
Steel >> Structural Steel >> Hollow Sections,ec33752q7y,"Tosçelik Profil ve Sac End. A.Ş, Shop Primer Painted ERW Steel Pipes, Unspecified Tosçelik Profil ve Sac End. A.Ş Plant(s), 2026, ec33752q7y",Tosçelik Profil ve Sac End. A.Ş,Unspecified Tosçelik Profil ve Sac End. A.Ş Plant(s),Shop Primer Painted ERW Steel Pipes,"Shop Primer Painted ERW Steel Pipes are used in all application areas such as construction and installation, which are intended to increase corrosion resistance and provide protection to the product.",1 kg,0.71,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Turkey,2026
Steel >> Structural Steel >> Hollow Sections,ec3p18rurr,"Tosçelik Profil ve Sac End. A.Ş, Shop Primer Painted Steel ERW Hollow Sections, Unspecified Tosçelik Profil ve Sac End. A.Ş Plant(s), 2026, ec3p18rurr",Tosçelik Profil ve Sac End. A.Ş,Unspecified Tosçelik Profil ve Sac End. A.Ş Plant(s),Shop Primer Painted Steel ERW Hollow Sections,Intended use of the product: It is used in all constructions aimed to increase corrosion resistance and provide protection to the product.,1 kg,0.7,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Turkey,2026
Steel >> Structural Steel >> Hollow Sections,ec3az1tyr8,"Tosçelik Profil ve Sac End. A.Ş, Bare ERW Steel Pipes, Unspecified Tosçelik Profil ve Sac End. A.Ş Plant(s), 2026, ec3az1tyr8",Tosçelik Profil ve Sac End. A.Ş,Unspecified Tosçelik Profil ve Sac End. A.Ş Plant(s),Bare ERW Steel Pipes,"Bare Steel Pipes are manufactured longitudinally welded with source of high frequency (ERW) from the strips having steel grade at their manufacturing standards. Our standard productions are packaged hexagonally with steel strips. According to customer demands, product packages may be packed with jute as well.",1 kg,0.7,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Turkey,2026
Steel >> Structural Steel >> Hollow Sections,ec392jzz0s,"Nucor, Unfabricated Steel Hollow Structural Sections, Trinity, AL, 2026, ec392jzz0s",Nucor,"Trinity, AL",Unfabricated Steel Hollow Structural Sections,"Steel tubes covered under this declaration represent hollow structural sections, mechanical tube, sprinkler pipe, and solar torque tube. These products are used in building, bridge and industrial applications.",1 kg,1.44,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,US,2026
Steel >> Structural Steel >> Hollow Sections,ec3ew4wnq6,"Nucor, Unfabricated Steel Hollow Structural Sections, Marseilles, IL, 2026, ec3ew4wnq6",Nucor,"Marseilles, IL",Unfabricated Steel Hollow Structural Sections,"Steel tubes covered under this declaration represent hollow structural sections, mechanical tube, sprinkler pipe, and solar torque tube. These products are used in building, bridge and industrial applications.",1 kg,1.22,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,US,2026
Steel >> Structural Steel >> Hollow Sections,ec3guhzusu,"Nucor, Unfabricated Steel Hollow Structural Sections, Nucor Steel - Decatur - Sheet Mill, 2026, ec3guhzusu",Nucor,Nucor Steel - Decatur - Sheet Mill,Unfabricated Steel Hollow Structural Sections,"Steel tubes covered under this declaration represent hollow structural sections, mechanical tube, sprinkler pipe, and solar torque tube. These products are used in building, bridge and industrial applications.",1 kg,1.44,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,US,2026
Steel >> Structural Steel >> Hollow Sections,ec3d79zn5a,"Nucor, Unfabricated Steel Hollow Structural Sections, Chicago, IL, 2026, ec3d79zn5a",Nucor,"Chicago, IL",Unfabricated Steel Hollow Structural Sections,"Steel tubes covered under this declaration represent hollow structural sections, mechanical tube, sprinkler pipe, and solar torque tube. These products are used in building, bridge and industrial applications.",1 kg,1.06,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,US,2026
Steel >> Structural Steel >> Hollow Sections,ec3y0jpqp6,"Nucor, Unfabricated Steel Hollow Structural Sections, Nucor Steel Birmingham  - Bar Mill, 2026, ec3y0jpqp6",Nucor,Nucor Steel Birmingham  - Bar Mill,Unfabricated Steel Hollow Structural Sections,"Steel tubes covered under this declaration represent hollow structural sections, mechanical tube, sprinkler pipe, and solar torque tube. These products are used in building, bridge and industrial applications.",1 kg,1.4,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,US,2026
Steel >> Structural Steel >> Hollow Sections,ec3pdhmu11,"Nucor, Fabricated Steel Hollow Structural Sections, Nucor Tubular Products, 2026, ec3pdhmu11",Nucor,Nucor Tubular Products,Fabricated Steel Hollow Structural Sections,"Steel tubes covered under this declaration represent hollow structural sections, mechanical tube, sprinkler pipe, and solar torque tube. These products are used in building, bridge and industrial applications.",1 kg,1.64,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,US,2026
Steel >> Structural Steel >> Hollow Sections,ec30mf8ru6,"Nucor, Fabricated Steel Hollow Structural Sections, Chicago, IL, 2026, ec30mf8ru6",Nucor,"Chicago, IL",Fabricated Steel Hollow Structural Sections,"Steel tubes covered under this declaration represent hollow structural sections, mechanical tube, sprinkler pipe, and solar torque tube. These products are used in building, bridge and industrial applications.",1 kg,1.27,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,US,2026
Steel >> Structural Steel >> Hollow Sections,ec3ebamyyn,"Nucor, Fabricated Steel Hollow Structural Sections, Nucor Steel - Decatur - Sheet Mill, 2026, ec3ebamyyn",Nucor,Nucor Steel - Decatur - Sheet Mill,Fabricated Steel Hollow Structural Sections,"Steel tubes covered under this declaration represent hollow structural sections, mechanical tube, sprinkler pipe, and solar torque tube. These products are used in building, bridge and industrial applications.",1 kg,1.69,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,US,2026
Steel >> Structural Steel >> Hollow Sections,ec36hw9hsj,"Nucor, Fabricated Steel Hollow Structural Sections, Marseilles, IL, 2026, ec36hw9hsj",Nucor,"Marseilles, IL",Fabricated Steel Hollow Structural Sections,"Steel tubes covered under this declaration represent hollow structural sections, mechanical tube, sprinkler pipe, and solar torque tube. These products are used in building, bridge and industrial applications.",1 kg,1.45,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,US,2026
Steel >> Structural Steel >> Hollow Sections,ec3mw25d02,"Nucor, Fabricated Steel Hollow Structural Sections, Trinity, AL, 2026, ec3mw25d02",Nucor,"Trinity, AL",Fabricated Steel Hollow Structural Sections,"Steel tubes covered under this declaration represent hollow structural sections, mechanical tube, sprinkler pipe, and solar torque tube. These products are used in building, bridge and industrial applications.",1 kg,1.68,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,US,2026
Steel >> Structural Steel >> Hollow Sections,n/a,"American Galvanizers Association, Galvanized Hollow Structural Sections, n/a, 2021, n/a",American Galvanizers Association,n/a,Galvanized Hollow Structural Sections,,1 kg,2.68,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Industry EPDs,Northern America,2021
Steel >> Structural Steel >> Hollow Sections,n/a,"Steel Tube Institute, Hollow Structural Sections, n/a, 2021, n/a",Steel Tube Institute,n/a,Hollow Structural Sections,,1 kg,2.11,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Industry EPDs,Northern America,2021
Steel >> Structural Steel >> Hollow Sections,n/a,"Steel Tube Institute, American Institute of Steel Construction, Fabricated Hollow Structural Sections, n/a, 2022, n/a","Steel Tube Institute, American Institute of Steel Construction",n/a,Fabricated Hollow Structural Sections,,1 kg,2.39,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Industry EPDs,Northern America,2022
,,,,,,,,,,,,,,,,,,,EPiC,,
