Category,Manufacturer,Plant,Product,Description,"Declared 
Unit",gwp.a1a2a3_mean,"GWP 
Uncertainty","Comparison 
GWP","EPD 
Link",Expiry,PCR,"PCR 
Link",source,geography,e.open_xpd_uuid,label
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Orange Plant,Normal Weight Concrete Masonry Units,"Normal Weight Concrete Masonry Units:                             Declared Unit: 1 m3 of concrete formed into
  Angelus Normal Weight CMU are made with ASTM C33                  manufactured concrete masonry product (CMU)
  aggregates. Typically used in site work where 8-inch high in 6-
  inch and 8-inch widths are common. Other sizes available.          Global Warming Potential (kg CO2-eq)                                 186
  Dimensional properties as defined in ASTM C90.                     Acidification Potential (kg SO2-eq)                                  0.59
                                                                     Eutrophication Potential (kg N-eq)                                   0.17
                                                                     Smog Creation Potential (kg O3-eq)                                   13.2
                                                                     Ozone Depletion Potential (kg CFC-11-eq)                      3.27E-6",1 m3,186,0.208326667,217.7233257,cqd.io/e/ec368k90fr,5/4/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Orange Plant | Normal Weight Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Indio Plant,Normal Weight Concrete Masonry Units,"Normal Weight Concrete Masonry Units:                             Declared Unit: 1 m3 of concrete formed into
  Angelus Normal Weight CMU are made with ASTM C33                  manufactured concrete masonry product (CMU)
  aggregates. Typically used in site work where 8-inch high in 6-
  inch and 8-inch widths are common. Other sizes available.          Global Warming Potential (kg CO2-eq)                                 200
  Dimensional properties as defined in ASTM C90.                     Acidification Potential (kg SO2-eq)                                  0.65
                                                                     Eutrophication Potential (kg N-eq)                                   0.14
                                                                     Smog Creation Potential (kg O3-eq)                                   17.0
                                                                     Ozone Depletion Potential (kg CFC-11-eq)                      2.98E-6",1 m3,200,0.208326667,234.1111029,cqd.io/e/ec3j09ydx7,5/4/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Indio Plant | Normal Weight Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Gardena Plant,Normal Weight Concrete Masonry Units,"Normal Weight Concrete Masonry Units:                             Declared Unit: 1 m3 of concrete formed into
  Angelus Normal Weight CMU are made with ASTM C33                  manufactured concrete masonry product (CMU)
  aggregates. Typically used in site work where 8-inch high in 6-
  inch and 8-inch widths are common. Other sizes available.          Global Warming Potential (kg CO2-eq)                                 176
  Dimensional properties as defined in ASTM C90.                     Acidification Potential (kg SO2-eq)                                  0.56
                                                                     Eutrophication Potential (kg N-eq)                                   0.15
                                                                     Smog Creation Potential (kg O3-eq)                                   12.9
                                                                     Ozone Depletion Potential (kg CFC-11-eq)                      2.92E-6",1 m3,176,0.208326667,206.0177706,cqd.io/e/ec3zcd5zha,5/4/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Gardena Plant | Normal Weight Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Fontana Plant,Normal Weight Concrete Masonry Units,"Normal Weight Concrete Masonry Units:                             Declared Unit: 1 m3 of concrete formed into
  Angelus Normal Weight CMU are made with ASTM C33                  manufactured concrete masonry product (CMU)
  aggregates. Typically used in site work where 8-inch high in 6-
  inch and 8-inch widths are common. Other sizes available.          Global Warming Potential (kg CO2-eq)                                 177
  Dimensional properties as defined in ASTM C90.                     Acidification Potential (kg SO2-eq)                                  0.53
                                                                     Eutrophication Potential (kg N-eq)                                   0.12
                                                                     Smog Creation Potential (kg O3-eq)                                   12.0
                                                                     Ozone Depletion Potential (kg CFC-11-eq)                      2.80E-6",1 m3,177,0.208326667,207.1883261,cqd.io/e/ec3kmd86u5,5/4/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Fontana Plant | Normal Weight Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Jandris Block,Gardner,Mix NW,"Normal Weight :                                                           Global Warming Potential (kg CO2-eq)                      283
Normal Weight Density CMU. Applications include general                   Acidification Potential (kg SO2-eq)                      1.45
construction, firewalls and structural configurations.
                                                                          Eutrophication Potential (kg N-eq)                       0.15
                                                                          Smog Creation Potential (kg O3-eq)                       19.9
                                                                          Ozone Depletion Potential (kg CFC-11-eq)               5.3E-6",1 m3,283,0.288790582,349.7255669,cqd.io/e/ec39cw2xe1,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Jandris Block | Gardner | Mix NW
Masonry >> Concrete Unit Masonry,"A & S Building Systems, Inc.",Gardner,Mix NW100,ENVIRONMENTAL IMPACTS Declared Product: Mix NW100 • Gardner Plant,1 m3,286,0.208326667,334.7788772,cqd.io/e/ec3pmjuyf5,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,"A & S Building Systems, Inc. | Gardner | Mix NW100"
Masonry >> Concrete Unit Masonry,"A & S Building Systems, Inc.",Gardner,Mix CPG10,ENVIRONMENTAL IMPACTS Declared Product: Mix CPG10 • Gardner Plant,1 m3,261,0.208326667,305.5149893,cqd.io/e/ec3b48cyfg,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,"A & S Building Systems, Inc. | Gardner | Mix CPG10"
Masonry >> Concrete Unit Masonry,"A & S Building Systems, Inc.",Gardner,Mix NW,manufactured concrete masonry product (CMU),1 m3,283,0.208326667,331.2672106,cqd.io/e/ec3hcq86kd,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,"A & S Building Systems, Inc. | Gardner | Mix NW"
Masonry >> Concrete Unit Masonry,H+H Deutschland GmbH,Wittenborn I,Non-reinforced AAC 8-0.80,"The products referred to are components and building elements in various formats made of autoclaved aerated concrete (AAC). AAC is classified as a porous, steam-cured, lightweight concrete. AAC products can be manufactured to various raw densities but are produced using the same manufacturing technology. When comparing products of various compressive strength classes, formulation differences are apparent, whereby the preliminary products used are always identical. The AAC 2-0.35 product selected for the Declaration represents the product in the lowest raw density class while the AAC 8-0.80 product represents the highest gross density class among the AAC masonry units manufactured by H+H Deutschland GmbH. An average for the AAC 2-0.35 product is formed by weighting in accordance with the annual production volume at the three locations. The AAC 8-0.80 product is only produced at one location (Wittenborn I). Application: Precision blocks, precision elements and precision panels for masonry, load-bearing and non-bearing walls. Not designated for unprotected use. This EPD has been registered under the scope of mutual recognition between Institut Bauen und Umwelt e.V. (IBU) and The International EPD® System. The EPD thus has the right to bear the logotype of both programmes, and is also published here: https://ibu-epd.com/.",1 m3,303,0.210475652,355.2035583,cqd.io/e/ec3suyjzdn,5/15/2020,IBU: Part B: Requirements on the EPD for Aerated concrete,cqd.io/p/ec3bbc43ds,Product EPDs,US,,H+H Deutschland GmbH | Wittenborn I | Non-reinforced AAC 8-0.80
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Oceanside,Mix GS,ENVIRONMENTAL IMPACTS,1 m3,399,0.208326667,467.0516503,cqd.io/e/ec3q7cpswu,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Oceanside | Mix GS
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Riverside,Mix SRW,"Segmental Block: A segmental RWU with normal weight aggregate. Configurations for site walls, retaining walls, decorative planters and fire pits. This product is manufactured with post consumer recycled concrete. Minimum compressive strength: 3000 PSI.",1 m3,351,0.208326667,410.8649856,cqd.io/e/ec32w3ghan,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Riverside | Mix SRW
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Riverside,Mix JNB,"Jumbo Nursery Block: A CMU with normal weight aggregate. Configurations for low level garden walls, decorative , non-structural applications. This product is manufactured with post consumer recycled concrete.",1 m3,394,0.208326667,461.1988728,cqd.io/e/ec35dhtj67,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Riverside | Mix JNB
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Indio,Mix JNB,"Jumbo Nursery Block: A CMU with normal weight aggregate. Configurations for low level garden walls, decorative , non-structural applications. This product is manufactured with post consumer recycled concrete.",1 m3,391,0.208326667,457.6872062,cqd.io/e/ec36eay9ar,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Indio | Mix JNB
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Lightweight LEED 3750 PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,805,0.208326667,942.2971893,cqd.io/e/ec34qzrjem,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Lightweight LEED 3750 PSI
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Lightweight LEED 2000 PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,740,0.208326667,866.2110808,cqd.io/e/ec3wq41pqn,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Lightweight LEED 2000 PSI
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Medium Weight LEED 2000 PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,506,0.208326667,592.3010904,cqd.io/e/ec3jhfkh3h,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Medium Weight LEED 2000 PSI
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Lightweight LEED 2800 PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,776,0.208326667,908.3510794,cqd.io/e/ec39cwatny,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Lightweight LEED 2800 PSI
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Medium Weight LEED 3750 PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,575,0.208326667,673.0694209,cqd.io/e/ec3kx0umq6,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Medium Weight LEED 3750 PSI
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Medium Weight LEED 2800 PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,533,0.208326667,623.9060893,cqd.io/e/ec3z3utqxg,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Medium Weight LEED 2800 PSI
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Normal Weight LEED 2000 PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,478,0.208326667,559.525536,cqd.io/e/ec3n01p2mq,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Normal Weight LEED 2000 PSI
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Normal Weight LEED 3750 PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,547,0.208326667,640.2938665,cqd.io/e/ec38qmtrgk,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Normal Weight LEED 3750 PSI
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Standard Lightweight 2000PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,597,0.208326667,698.8216422,cqd.io/e/ec33qsg25x,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Standard Lightweight 2000PSI
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Normal Weight LEED 2800 PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,505,0.208326667,591.1305349,cqd.io/e/ec347kjqrd,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Normal Weight LEED 2800 PSI
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Standard Normal Weight 2000 PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,497,0.208326667,581.7660908,cqd.io/e/ec3ynk6su9,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Standard Normal Weight 2000 PSI
Masonry >> Concrete Unit Masonry,Air Vol Block,Air Vol Block,Standard Medium Weight 2000PSI,The 14 CMU mixescoveredin this EPD are given in Table 1 and descriptions of each mix andtheir application are provided below. Images and configurations of block shapes and sizes produced from these 14 mixes are defined in Figures 1 & 2.,1 m3,507,0.208326667,593.4716459,cqd.io/e/ec3rkgddzm,8/17/2020,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Air Vol Block | Air Vol Block | Standard Medium Weight 2000PSI
Masonry >> Concrete Unit Masonry,Permacon,"Montreal, QC",Standard Blocks with Glass Powder,Concrete blocks are defined in ASTM C1232as manufactured masonry unit made of concrete in which the  binder  is  a  combination  of  water  and  cementitious  materials.  Standard  and  Noble®blocks  are loadbearing  units.    Physical  properties  are  in  compliance  with  the  requirements  of  the  CSAA165.1-04 Concrete block masonry units’standard and presenta compressive strength of 22 MPa after 28 days).,1 m3,267,0.208326667,312.5383224,cqd.io/e/ec338aqext,11/28/2022,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,"Permacon | Montreal, QC | Standard Blocks with Glass Powder"
Masonry >> Concrete Unit Masonry,Bombardier,Permacon manufacturing,NW STD 20CM GLPW Concrete Block,"The NW STD 20CM GLPW is a loadbearing concrete block masonry unit, used in wall construction. Its specificity lays in the use of glass powder in replacement of a part of the cement. It is produced at Permacon manufacturing plant located in Milton, Ontario. The Milton plant address is 8375 5th Side Road, Milton, ON L9T 2X7 CANADA.",1 m3,209,0.208326667,244.6461026,cqd.io/e/ec389xdpnt,10/31/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Bombardier | Permacon manufacturing | NW STD 20CM GLPW Concrete Block
Masonry >> Concrete Unit Masonry,Hard Block Factory,Hard Block Factory,200mm Hollow CMU,200mm Hollow Concrete Masonry Unit (400x200x200),1 m3,253,0.208326667,296.1505452,cqd.io/e/ec3ncsbfpw,6/22/2023,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,Hard Block Factory | Hard Block Factory | 200mm Hollow CMU
Masonry >> Concrete Unit Masonry,BASALITE CONCRETE PRODUCTS,Dixon,Mix 225-LW,Structural lightweight CMU made with lightweight aggregates (less than 105pcf).,1 m3,396,0.208326667,463.5399838,cqd.io/e/ec3g5twm0x,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,BASALITE CONCRETE PRODUCTS | Dixon | Mix 225-LW
Masonry >> Concrete Unit Masonry,BASALITE CONCRETE PRODUCTS,Denver,Mix SB,A structural heavy weight Basalite CMU with heavy aggregates locally sourced,1 m3,359,0.208326667,420.2294298,cqd.io/e/ec3htr34wc,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,BASALITE CONCRETE PRODUCTS | Denver | Mix SB
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Riverside,Mix NW,A CMU with normal weight aggregate,1 m3,329,0.208326667,385.1127643,cqd.io/e/ec3qwcjedg,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Riverside | Mix NW
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Riverside,Mix NW-HS,A CMU with normal weight aggregate,1 m3,382,0.208326667,447.1522066,cqd.io/e/ec36qc2trb,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Riverside | Mix NW-HS
Masonry >> Concrete Unit Masonry,BASALITE CONCRETE PRODUCTS,Surrey,Mix SA6,"SA6 GEOWALL: A standard Basalite SRW. Sizes, shapes and colors are available for site walls. Minimum compressive strength 20 MPA.",1 m3,411,0.208326667,481.0983165,cqd.io/e/ec3xgg25hh,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,BASALITE CONCRETE PRODUCTS | Surrey | Mix SA6
Masonry >> Concrete Unit Masonry,BASALITE CONCRETE PRODUCTS,Dupont,Mix NW-HS,"High Test Additive: A high strength structural normal weight Basalite containing recycled blast furnace slag cement supplement. Sizes, shapes and colors are available for architectural, structural, veneer and site walls. Minimum compressive strength 4000 PSI. This product is manufactured with locally sourced heavy aggregates.",1 m3,617,0.288790582,762.4758826,cqd.io/e/ec3ur6e555,9/15/2021,ASTM International: Manufactured Concrete and Concrete Masonry Products,cqd.io/p/ec3p875zcu,Product EPDs,US,,BASALITE CONCRETE PRODUCTS | Dupont | Mix NW-HS
